,Persian Translation (Google Translate),sentiment
1,آب مروارید,-1
5,آبجو,1
7,آبرومند,1
17,آبگرم,1
37,آدرس,1
44,آراسته,1
47,آرامش بخش,1
52,آرسنیک,-1
55,آرمانی,1
56,آرمان‌گرا,1
61,آزاداندیش,1
62,آزادانه,1
63,آزاده,1
64,آزادیخواه,1
66,آزار,-1
67,آزاردهنده,-1
68,آزارنده,-1
72,آزمند,-1
75,آس و پاس,-1
76,آسان,1
78,آسان‌گیر,1
81,آسمان,1
84,آسمانی,1
86,آسم‌زا,-1
88,آسیب پذیر,-1
89,آسیب‌دیده,-1
90,آسیب‌رسان,-1
94,آسیا,-1
95,آسیب پذیری,-1
97,آشامیدنی,-1
98,آشتی جویانه,1
99,آشتی‌ناپذیر,-1
100,آشفته,-1
102,آشوب‌طلب,-1
103,آشکار,1
107,آغازگر,1
109,آفتاب,1
110,آفتابه‌دزد,-1
120,آقا,1
122,آلاینده,-1
125,آلرژی‌زا,-1
126,آلزایمری,-1
129,آلو,1
130,آلوده,-1
131,آلوده‌کننده,-1
132,آلوده‌گر,-1
133,آلودگی,-1
139,آماتوری,-1
140,آماده,1
141,آمادگی,1
146,آمفتامین,-1
149,آموزش,1
153,آموزشی,1
154,آموزش‌دیده,1
155,آموزش‌ندیده,-1
163,آنارشیست,-1
164,آنارشیسم,-1
168,آنتی بیوتیک‌ها,1
171,آنفولانزا,-1
177,آهن,-1
180,آهنگساز,1
181,آواتار,1
183,آوانگارد,1
193,آینده نگر,1
195,آینده‌گرا,1
200,آپاندیسیت,-1
207,آگاه,1
208,آگاهانه,1
213,ائتلاف,1
219,ابا,1
225,ابتکاری,1
226,ابد,1
227,ابداعی,1
229,ابدی,1
230,ابدیت,1
232,ابر مرد,1
234,ابراز تاسف,-1
237,ابرقدرت,1
242,ابریشم,1
248,ابشاری,1
249,ابطال,-1
250,ابطال و فسخ,-1
254,ابله,-1
255,ابله مرغان,-1
256,ابلهانه,-1
257,ابهام,-1
258,ابهام‌آلود,-1
264,اتحاد,1
265,اتحادیه,1
271,اتش زا,-1
272,اتشفشان,-1
273,اتشی,-1
280,اتلاف‌گر,-1
281,اتم,1
282,اتمام,1
285,اتهام,-1
286,اتهامی,-1
297,اثر,1
299,اثر تاریخی,1
310,اجازه,1
312,اجاق,1
313,اجبار,-1
314,اجباری,-1
317,اجتماعی,1
319,اجتناب,-1
322,اجتناب ناپذیر,-1
323,اجتناب کردن,-1
324,اجتناب کردن از,-1
327,اجراء,-1
331,اجنبی,-1
